station_code,area,aqi,time_point,primary_pollutant,pm2_5,quality,position_name,pm2_5_24h
1004A,北京,44,2017-07-29T14:00:00Z,,24,优,天坛,30
1005A,北京,46,2017-07-29T14:00:00Z,,28,优,农展馆,38
1001A,北京,47,2017-07-29T14:00:00Z,,32,优,万寿西宫,33
1012A,北京,50,2017-07-29T14:00:00Z,,35,优,古城,27
1007A,北京,54,2017-07-29T14:00:00Z,细颗粒物(PM2.5),38,良,海淀区万柳,28
1003A,北京,57,2017-07-29T14:00:00Z,细颗粒物(PM2.5),40,良,东四,36
1006A,北京,58,2017-07-29T14:00:00Z,细颗粒物(PM2.5),41,良,官园,32
,北京,58,2017-07-29T14:00:00Z,"颗粒物(PM2.5),颗粒物(PM10)",40,良,,29
1011A,北京,60,2017-07-29T14:00:00Z,细颗粒物(PM2.5),43,良,奥体中心,32
1002A,北京,63,2017-07-29T14:00:00Z,颗粒物(PM10),37,良,定陵,20
1010A,北京,77,2017-07-29T14:00:00Z,颗粒物(PM10),46,良,昌平镇,20
1009A,北京,80,2017-07-29T14:00:00Z,臭氧1小时,48,良,怀柔镇,21
1008A,北京,102,2017-07-29T14:00:00Z,细颗粒物(PM2.5),76,轻度污染,顺义新城,38
